Year,"Population, male (% of total population)","Population, male","Population, female (% of total population)","Population, female","Population, total",Population growth (annual %),"Age dependency ratio, young (% of working-age population)","Age dependency ratio, old (% of working-age population)",Age dependency ratio (% of working-age population),Sex ratio at birth (male births per female births),"Population ages 80 and above, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 70-74, female (% of female population)",Population ages 65 and above (% of total population),"Population ages 65 and above, total","Population ages 65 and above, male (% of male population)","Population ages 65 and above, male","Population ages 65 and above, female (% of female population)","Population ages 65 and above, female","Population ages 65-69, male (% of male population)","Population ages 65-69, female (% of female population)","Population ages 60-64, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 20-24, female (% of female population)",Population ages 15-64 (% of total population),"Population ages 15-64, total","Population ages 15-64, male (% of male population)","Population ages 15-64, male","Population ages 15-64, female (% of female population)","Population ages 15-64, female","Population ages 15-19, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 05-09, female (% of female population)",Population ages 0-14 (% of total population),"Population ages 0-14, total","Population ages 0-14, male (% of male population)","Population ages 0-14, male","Population ages 0-14, female (% of female population)","Population ages 0-14, female","Population ages 00-04, male (% of male population)","Population ages 00-04, female (% of female population)","Survival to age 65, male (% of cohort)","Survival to age 65, female (% of cohort)","Fertility rate, total (births per woman)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Life expectancy at birth, female (years)","Mortality rate, infant, male (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)","Mortality rate, infant, female (per 1,000 live births)","Death rate, crude (per 1,000 people)","Birth rate, crude (per 1,000 people)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Refugee population by country or territory of asylum,Net migration,"Physicians (per 1,000 people)","Mortality rate, under-5, male (per 1,000 live births)","Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Number of neonatal deaths,Number of under-five deaths,Number of infant deaths
1999,49.49749633,15047875,50.50250038,15353410,30401286,0.812842624,28.59098872,18.20085905,46.79184778,1.053,1.893995795,3.663133552,2.153935739,2.998541359,2.986047937,3.54458397,12.39909404,3769484,10.68819804,1608347,14.07594312,2161137,3.654218567,3.869684239,4.010133627,4.095648516,4.928325366,4.912481547,6.491470682,6.396811807,7.440269588,7.371637127,8.477321206,8.343251275,8.994698956,8.70708102,7.773967786,7.501819881,7.018684195,6.720218558,6.931863649,6.494622296,68.12367459,20710473,69.15299692,10406057,67.11483583,10304416,7.086261868,6.571263798,6.946105568,6.469177174,6.986089938,6.523395834,19.47723137,5921329,20.15880504,3033472,18.80922105,2887857,6.226609534,5.816648047,83.397698,89.852381,1.55,76.2,78.83902439,81.61,5.8,5.3,4.8,7.2,11.1,104.145,61.623,19.119,123303,143541,2.1,6.9,5.7,6.3,1259,2155,1795
2000,49.51343422,15193559,50.48656578,15492171,30685730,0.931281553,28.06945722,18.27516895,46.34462617,1.055,1.949456576,3.762173922,2.200819728,3.033312901,3.020919328,3.528531061,12.48776187,3831961,10.79233433,1639740,14.15051,2192221,3.621138701,3.826492119,4.050285268,4.142379772,5.094609383,5.069879347,6.695252522,6.614106733,7.569823573,7.521223439,8.564682042,8.410649172,8.881354328,8.580732344,7.519064514,7.251846812,6.926589164,6.615381671,6.976745946,6.530880723,68.33185791,20968129,69.37041126,10539834,67.3133227,10428295,7.092004522,6.576242691,6.936627102,6.475390261,6.866960516,6.415723167,19.18038021,5885640,19.8372544,3013985,18.53616729,2871655,6.033666786,5.645053865,83.785565,89.979998,1.51,76.64,79.16682927,81.82,5.7,5.3,4.8,7.1,10.7,100.915,61.046,17.452,126991,201617,,6.8,5.6,6.2,1216,2074,1734
2001,49.53455923,15366067,50.46544077,15654835,31020902,1.086350966,27.54544524,18.35087675,45.896322,1.054,2.030463926,3.888993391,2.232341477,3.036972312,3.055622906,3.516535969,12.57802591,3901817,10.8981547,1674618,14.22691029,2227199,3.579726395,3.784408617,4.120727627,4.216540654,5.308231906,5.279099069,6.822158885,6.760996853,7.707343352,7.664958783,8.6444257,8.461194498,8.655912258,8.354478146,7.366819666,7.096102113,6.860450666,6.540249031,7.019592232,6.579790295,68.54182268,21262292,69.58543197,10692544,67.51746377,10569748,7.079769681,6.564054323,6.946564033,6.493136988,6.71873103,6.284002595,18.88015141,5856793,19.51641332,2998905,18.25562595,2857888,5.851118261,5.478486363,84.088665,90.25759,1.54,76.92,79.39804878,82,5.7,5.3,4.8,7.1,10.8,99.426,59.364,16.495,129227,224357,1.8871,6.7,5.6,6.2,1242,2029,1707
2002,49.54740694,15538106,50.45258987,15821972,31360079,1.087447927,27.04796601,18.41863641,45.46660242,1.054,2.110182931,4.009697803,2.262263195,3.029305615,3.080688529,3.502960505,12.66176204,3970739,10.99724851,1708764,14.2964121,2261974,3.54411386,3.754448177,4.236384485,4.331042634,5.581046709,5.557366573,6.867562492,6.829574317,7.862634059,7.807808682,8.700251456,8.486080283,8.3569368,8.064380844,7.258311215,6.980795973,6.816049668,6.505945104,7.059409019,6.628219654,68.7443024,21558268,69.78363551,10843055,67.72361623,10715212,7.045049606,6.53240217,6.972305341,6.517974495,6.551220465,6.129980763,18.59393556,5831073,19.21911598,2986287,17.97997167,2844786,5.695590172,5.332016407,84.432425,90.106167,1.52,77.16,79.53073171,82.02,5.7,5.3,4.8,7.1,10.5,96.835,59.492,15.407,129935,206028,1.8969,6.7,5.6,6.2,1260,2020,1712
2003,49.55135209,15680044,50.44864791,15963984,31644028,0.901372739,26.56804434,18.50663256,45.0746769,1.052,2.186353974,4.121468309,2.296059409,3.0182895,3.088857254,3.482735524,12.75662606,4036710,11.1078181,1741711,14.3761079,2295000,3.536547464,3.75361457,4.389209877,4.478410906,5.840016944,5.829646578,6.920486393,6.903746772,8.010421075,7.929710682,8.739259984,8.496014926,8.019346988,7.741644725,7.142019441,6.865324257,6.793219536,6.506046468,7.10323943,6.673540801,68.93001618,21812234,69.96108053,10969928,67.9172906,10842305,7.003860864,6.493204484,6.97673528,6.523304942,6.363001393,5.956916067,18.31335776,5795084,18.93110137,2968405,17.7066015,2826679,5.591364695,5.226380489,84.548168,90.273003,1.55,77.32,79.71512195,82.23,5.7,5.3,4.8,7.1,10.6,96.936,58.315,14.856,133088,182430,,6.7,5.6,6.2,1298,2020,1722
2004,49.55523165,15828266,50.44476835,16112389,31940655,0.933020777,26.06000784,18.61373419,44.67374204,1.054,2.265642669,4.229120722,2.329573761,3.004401169,3.079297035,3.453354742,12.86600699,4109487,11.23500421,1778306,14.46824892,2331181,3.560490749,3.781372286,4.554299899,4.636953684,6.053465048,6.059371464,7.033969448,7.029515336,8.120643094,8.010266269,8.74925141,8.481064486,7.696396111,7.426831311,7.014173574,6.755707174,6.790711957,6.530290816,7.140002737,6.706399092,69.12104267,22077714,70.14345258,11102492,68.11666177,10975222,6.990539305,6.480262138,6.918779657,6.476786501,6.168294396,5.777807568,18.01295034,5753454,18.6215432,2947467,17.41508931,2805987,5.53446915,5.160495241,84.885244,90.515313,1.56,77.68,79.99219512,82.42,5.7,5.3,4.8,7.1,10.6,94.71,57.049,13.945,141402,193282,1.8971,6.6,5.6,6.1,1309,2024,1735
2005,49.56195565,15980635,50.43804125,16263117,32243753,0.944466927,25.51930533,18.74710349,44.26640882,1.053,2.349419392,4.333393696,2.363902535,2.993637639,3.059331376,3.421126522,12.99478183,4190005,11.38350588,1819157,14.57807066,2370849,3.61085258,3.829912806,4.719941897,4.798090845,6.240161445,6.259727668,7.181283884,7.177779785,8.209749851,8.069981204,8.671979741,8.38809157,7.447241356,7.178893694,6.89029641,6.661922808,6.800253538,6.56857597,7.154005472,6.712199508,69.31620538,22350146,70.32718468,11238731,68.32278632,11111415,7.012271089,6.507523273,6.797629349,6.377389732,5.983000329,5.596785418,17.68901278,5703602,18.28930943,2922748,17.09914301,2780854,5.508679755,5.124967864,85.108081,90.547006,1.58,77.82,80.11268293,82.52,5.6,5.2,4.8,7.1,10.7,94.342,57.113,13.475,147164,204710,,6.6,5.6,6.1,1312,2025,1742
2006,49.56571045,16144134,50.43428648,16427039,32571174,1.010334503,25.01949429,18.94420642,43.96370071,1.055,2.435243329,4.430596404,2.400365056,2.989026383,3.037740071,3.392604918,13.15901574,4286046,11.56912756,1867735,14.72152298,2418310,3.695779099,3.909295273,4.921135815,4.997849879,6.370556288,6.39255942,7.339584983,7.320574902,8.290687709,8.121567002,8.470176859,8.180806182,7.276758819,7.017439979,6.789030448,6.595509762,6.826141328,6.617350763,7.139701593,6.695941185,69.46195556,22624574,70.45408392,11374202,68.48691358,11250372,7.030310081,6.547314503,6.646435118,6.240102106,5.819555232,5.42766687,17.37902869,5660554,17.97678852,2902197,16.79156344,2758357,5.510798171,5.123794467,85.521734,90.854368,1.63,78.29,80.54365854,82.91,5.6,5.2,4.8,7,11,91.811,55.878,13.66,151832,202483,1.9086,6.5,5.5,6,1335,2048,1770
2007,49.56266054,16300676,50.43733641,16588348,32889025,0.971135141,24.62787915,19.20824112,43.83612028,1.051,2.522436058,4.514873484,2.430251919,2.985079985,3.023679066,3.373114349,13.35425346,4392084,11.78806409,1921534,14.89328218,2470549,3.81169705,4.02021436,5.170391617,5.244887775,6.434019469,6.444399725,7.505088716,7.447781364,8.355206435,8.156076132,8.163507385,7.884693706,7.147925444,6.908307624,6.730080702,6.574656532,6.87769382,6.676563328,7.090866381,6.666113824,69.52356745,22865623,70.49032176,11490399,68.57357846,11375224,7.015541787,6.570098449,6.491956505,6.078833,5.690879434,5.296052335,17.1221791,5631318,17.72161415,2888743,16.53313936,2742575,5.538778213,5.158254027,85.59365,90.893478,1.67,78.29,80.54365854,82.91,5.5,5.1,4.7,7.1,11.3,91.755,55.476,14.163,175728,210817,,6.4,5.5,6,1384,2101,1827
2008,49.55954568,16477121,50.44045432,16769997,33247118,1.082907116,24.33148919,19.5227666,43.85425578,1.052,2.608762733,4.58769474,2.445131745,2.973549175,3.032134414,3.375674842,13.57121184,4512037,12.0298707,1982176,15.08563444,2529860,3.943841804,4.148715685,5.406968948,5.476855088,6.49997426,6.492152496,7.65245552,7.546699509,8.39771651,8.170458766,7.80574511,7.554508846,7.02766195,6.81495535,6.716688056,6.594598947,6.9458419,6.74237954,7.029633041,6.636155244,69.51480153,23111668,70.45688783,11609267,68.58916816,11502401,6.974202539,6.560404374,6.329327522,5.90677746,5.598204332,5.204662231,16.91398663,5623413,17.51324147,2885678,16.3251974,2737735,5.585709615,5.213757707,85.825029,90.941643,1.7,78.51,80.72463415,83.05,5.5,5.1,4.7,7.2,11.5,89.926,55.899,14.606,173642,237962,1.959,6.3,5.4,5.9,1410,2144,1871
2009,49.55921931,16666218,50.44078069,16962677,33628895,1.141758099,24.08069169,19.86867944,43.94937113,1.053,2.692321761,4.655189833,2.446902894,2.952806114,3.066659187,3.404956284,13.80254794,4641644,12.28614556,2047636,15.29244792,2594009,4.080261721,4.279495692,5.610433445,5.671933146,6.614317609,6.58378437,7.760556669,7.61454949,8.387820973,8.141630167,7.464795086,7.245479708,6.904075787,6.729086528,6.734755118,6.634521949,7.004457897,6.801399749,6.998403436,6.636516634,69.46886843,23361613,70.3899655,11731345,68.56386951,11630268,6.910349481,6.504967768,6.154938442,5.732685458,5.528926475,5.139257909,16.72858363,5625638,17.32388894,2887237,16.14368257,2738401,5.640024018,5.271739201,86.335353,91.052682,1.69,78.91,81.06609756,83.33,5.4,5,4.6,7.1,11.4,87.755,54.782,14.636,169424,240878,,6.2,5.3,5.8,1415,2151,1877
2010,49.55942883,16852629,50.44057117,17152260,34004889,1.111864075,23.86508787,20.2707839,44.13587177,1.053,2.785414488,4.731264593,2.444692938,2.929791334,3.120646518,3.456019887,14.06366336,4782333,12.5737929,2119015,15.52750735,2663318,4.223038957,4.410431537,5.796927093,5.843544809,6.75657122,6.698892401,7.848332169,7.675298829,8.271853978,8.019510091,7.20280859,7.015726937,6.78333857,6.652261488,6.771408964,6.683111382,7.020124616,6.827954113,7.001558869,6.666968453,69.37898098,23592245,70.28048773,11844110,68.49322261,11748136,6.827563664,6.409954108,5.97762379,5.557262466,5.479931082,5.101396187,16.55735565,5630310,17.14571937,2889504,15.97927004,2740806,5.688164494,5.320611386,86.581013,91.406586,1.65,79.21,81.32219512,83.54,5.3,5,4.6,7,11.2,85.399,52.66,13.964,165544,227724,2.0384,6.2,5.3,5.7,1397,2129,1854
2011,49.56682924,17020916,50.43317367,17318413,34339328,0.978697787,23.72964916,20.80613063,44.53577979,1.053,2.888044617,4.814717218,2.443724861,2.907900319,3.193800443,3.525689157,14.39514192,4943195,12.93487298,2201634,15.83032626,2741561,4.409303063,4.582019567,5.919608175,5.954601226,6.900958677,6.827949633,7.917126497,7.733980619,8.044616598,7.802858107,7.037036286,6.884759263,6.687743384,6.598047982,6.816940995,6.737764201,6.996975945,6.811832197,7.031687462,6.689198149,69.18702071,23758358,70.07310931,11927085,68.31615339,11831274,6.720415294,6.275162011,5.81112697,5.39556882,5.47038337,5.109851159,16.41783737,5637775,16.9920177,2892197,15.85352035,2745578,5.710507362,5.348100371,86.881067,91.513544,1.63,79.39,81.48268293,83.68,5.3,4.9,4.5,7.1,11,82.916,52.671,13.02,164879,228828,,6.1,5.2,5.7,1392,2105,1829
2012,49.58556294,17213242,50.41443706,17500980,34714222,1.085817263,23.70174157,21.48218652,45.18392809,1.057,2.984464716,4.886386085,2.448965213,2.892422775,3.288894446,3.611219508,14.79653228,5136501,13.36845217,2301144,16.20113307,2835357,4.646127797,4.811104698,5.960773481,6.002862254,7.0421985,6.974744871,7.946233042,7.771318744,7.753016067,7.54402516,6.923669805,6.803229784,6.638403361,6.584955787,6.862770488,6.793215327,6.971562036,6.765413273,7.085068108,6.680617723,68.8781468,23910513,69.75571706,12007220,68.01500482,11903292,6.572022176,6.094621896,5.67501582,5.27561484,5.503424032,5.16344606,16.32532092,5667208,16.87583076,2904878,15.78386212,2762331,5.697390912,5.344801216,87.047931,91.474252,1.63,79.61,81.66365854,83.82,5.2,4.8,4.5,7.1,11,82.45,52.44,12.556,163751,245309,2.3962,6,5.2,5.6,1396,2094,1822
2013,49.60504871,17402916,50.39494844,17680037,35082954,1.056591259,23.7486254,22.20541618,45.95404158,1.054,3.070826763,4.940564351,2.470333294,2.895622292,3.406256462,3.713705508,15.21397733,5337513,13.81716812,2404590,16.5888927,2932922,4.8697516,5.039000546,6.001344248,6.066745954,7.168473443,7.112951685,7.948518175,7.787664627,7.436955185,7.274425754,6.814364204,6.724020059,6.626105598,6.602596177,6.908437452,6.8381945,6.961748021,6.708018659,7.123700614,6.63471216,68.5147194,24036987,69.38734356,12075421,67.65577292,11961566,6.397696615,5.906443341,5.5811667,5.205293427,5.55482619,5.234489261,16.27130327,5708454,16.79548832,2922905,15.75533439,2785549,5.659495435,5.315551699,87.097638,91.655561,1.61,79.74,81.74487805,83.85,5.1,4.8,4.4,7.2,10.9,81.208,50.975,11.665,160347,242475,2.4509,5.9,5.1,5.5,1376,2074,1806
2014,49.61463208,17582153,50.38536792,17855282,35437435,1.005337579,23.83711591,22.91781854,46.75493444,1.051,3.149261186,4.980177414,2.508495738,2.919146429,3.535911637,3.825645329,15.61638671,5534047,14.24884204,2505253,16.9630123,3028794,5.055173482,5.238043131,6.095862282,6.186431196,7.264668875,7.219497317,7.925071841,7.776341516,7.141105369,7.024637724,6.700281671,6.645678826,6.627854271,6.630007878,6.941320172,6.85455286,6.973240033,6.65781253,7.10444051,6.539028929,68.14080952,24147355,69.00947554,12133352,67.28543134,12014004,6.235630512,5.751442562,5.520428085,5.17136242,5.607944408,5.303678365,16.24280376,5756033,16.74168242,2943548,15.75155636,2812485,5.613309927,5.276515575,87.122853,91.583078,1.61,79.76,81.78439024,83.91,5.1,4.7,4.4,7.3,10.9,81.436,51.4,10.859,149164,195649,2.4961,5.8,5,5.4,1367,2051,1788
2015,49.61611296,17714395,50.38388704,17988513,35702908,0.746339478,23.96361902,23.62802214,47.59164116,1.051,3.225139598,5.014762764,2.55713675,2.955879956,3.671340648,3.942899816,16.00905303,5715697,14.66908408,2598539,17.32860281,3117158,5.215467081,5.415060277,6.220721696,6.332370442,7.336998481,7.302523888,7.8250634,7.690748571,6.913469463,6.836699261,6.588341973,6.572102363,6.637735924,6.658725686,6.956306321,6.838737783,7.006425077,6.624115239,7.028197448,6.411264598,67.75451452,24190332,68.61874867,12155396,66.90345004,12034936,6.105488885,5.636162213,5.480994116,5.162147391,5.656752426,5.363197374,16.23643245,5796879,16.71216726,2960459,15.76794714,2836419,5.574420713,5.242602378,87.188984,91.621565,1.6,79.84,81.81560976,83.89,5,4.7,4.4,7.4,10.7,81.203,50.736,9.685,135890,232738,2.5388,5.7,5,5.4,1323,2017,1758
2016,49.61927291,17917265,50.38072709,18192222,36109487,1.132348655,24.08113266,24.33297167,48.41410433,1.052,3.298582574,5.048754526,2.620413301,3.010919461,3.839226732,4.103011172,16.3953224,5920267,15.07593012,2701194,17.69477345,3219072,5.317707513,5.532088294,6.344875329,6.472055101,7.380986031,7.355050641,7.615437513,7.500060665,6.756435006,6.709836144,6.490930366,6.507692715,6.667106603,6.690329991,6.970531309,6.811252747,7.056712263,6.619565913,6.946557122,6.309696198,67.37904091,24330226,68.23713686,12226229,66.53391417,12103997,6.007565318,5.558374057,5.467091368,5.174019311,5.683255277,5.392258476,16.22563669,5858994,16.68693302,2989842,15.77131237,2869152,5.536586376,5.205034588,87.066966,91.594127,1.59,79.92,81.92487805,84.03,4.9,4.7,4.3,7.4,10.6,82.791,51.593,8.607,97322,320494,2.3105,5.7,5,5.3,1299,1976,1721
2017,49.63251704,18138320,50.36748022,18406915,36545236,1.199520711,24.12445818,25.02359744,49.14805562,1.055,3.365079001,5.079136797,2.705116282,3.090154854,4.042993703,4.318753527,16.77768971,6131446,15.4664845,2805360,18.06976176,3326086,5.353295512,5.581716584,6.460401493,6.593472576,7.38587938,7.364954885,7.322656102,7.232890718,6.62881501,6.601084664,6.429301075,6.467706102,6.723629257,6.731093051,6.986620013,6.787633786,7.121171693,6.650328331,6.906227431,6.262470294,67.04747089,24502656,67.90124348,12316145,66.20615659,12186511,5.936542029,5.514522184,5.479838524,5.202024636,5.674003242,5.377048356,16.17483939,5911133,16.63227202,3016815,15.72408165,2894318,5.478430255,5.145008655,87.038286,91.722363,1.55,79.75,81.83292683,84.02,4.9,4.6,4.3,7.5,10.3,85.803,51.511,8.054,104768,361274,2.6102,5.6,4.9,5.3,1299,1962,1712
2018,49.6573616,18405543,50.3426384,18659541,37065084,1.412455869,24.09851555,25.70314168,49.80165724,1.052,3.427792154,5.105890609,2.805552036,3.186107084,4.228116557,4.529573938,17.15811508,6359670,15.8461464,2916569,18.4522249,3443100,5.384685654,5.630653268,6.554459774,6.686346618,7.362100363,7.345926343,6.995442813,6.937921826,6.502093718,6.489294122,6.409927719,6.457177453,6.804330225,6.78094544,7.013699293,6.781361112,7.190269228,6.693128771,6.906104325,6.251865159,66.75493707,24742773,67.61176963,12444313,65.90976793,12298460,5.873342167,5.485801086,5.509550192,5.239495522,5.63573061,5.332179572,16.08694786,5962641,16.54208397,3044660,15.63800717,2917980,5.396803172,5.066332077,87.020919,91.83623,1.51,79.8,81.84390244,83.99,4.9,4.6,4.3,7.7,10.1,85.987,51.046,7.094,114101,417974,2.428,5.6,4.9,5.2,1275,1941,1697
2019,49.67979284,18680213,50.32020982,18921018,37601230,1.436136823,24.05256371,26.4248262,50.47738991,1.053,3.495569196,5.141259595,2.911187064,3.289001799,4.3798659,4.708562264,17.5606627,6603025,16.24413398,3034439,18.86043614,3568587,5.457511816,5.721612485,6.619658995,6.749243159,7.309831321,7.298073034,6.694461281,6.667064588,6.381690735,6.386995952,6.424450992,6.472534965,6.893652409,6.828304913,7.069591205,6.806150886,7.231845217,6.710506713,6.901876154,6.242356583,66.45516649,24987960,67.31869934,12575276,65.6026237,12412684,5.791641032,5.441392906,5.546489736,5.278346576,5.585312466,5.277525664,15.98417081,6010245,16.43716668,3070498,15.53694016,2939747,5.305364481,4.981067919,87.415997,92.046647,1.47,80.18,82.22878049,84.38,4.8,4.5,4.2,7.6,9.9,82.604,49.747,6.888,101757,391914,2.435,5.5,4.8,5.2,1251,1897,1659
2020,49.68906169,18885404,50.31093831,19121762,38007166,1.073795827,24.00180311,27.25389587,51.25569898,1.054,3.574249058,5.19973258,3.026790581,3.404487728,4.523932223,4.874551749,18.0184266,6848293,16.69598697,3153105,19.32451999,3695189,5.571015113,5.845747935,6.685784357,6.808983325,7.218184306,7.204554908,6.487200358,6.479123067,6.290945517,6.31336276,6.472070123,6.514418117,6.967400067,6.85854748,7.135351782,6.841107171,7.238331394,6.684800146,6.841946864,6.210580615,66.11321105,25127758,66.98226631,12649872,65.25489788,12477886,5.645051545,5.339420296,5.576106329,5.305751504,5.529108851,5.217146659,15.86836235,6031115,16.32174671,3082428,15.42058212,2948687,5.216531533,4.897683962,87.50366,91.972007,1.41,79.49,81.6704878,83.96,4.8,4.5,4.2,8.1,9.5,93.763,53.608,6.985,109214,195181,2.433,5.5,4.7,5.1,1271,1878,1645
2021,49.6920457,18995529,50.3079543,19230969,38226498,0.575421916,23.93077168,28.17124556,52.10201724,1.054,3.672683437,5.290071282,3.179147201,3.564346372,4.63505655,4.998448555,18.52128365,7080038,17.19150036,3265616,19.83478671,3814422,5.704613174,5.981920506,6.754441428,6.865910852,7.065214009,7.04843489,6.372099777,6.374428849,6.236414166,6.273243676,6.543985271,6.572454314,7.015836387,6.866509966,7.195440761,6.867270581,7.227621658,6.633514467,6.700079631,6.136338275,65.74534821,25132144,66.62042196,12654902,64.88098779,12477243,5.509288868,5.242881925,5.582034099,5.307208552,5.465351646,5.14991764,15.73336814,6014316,16.18807768,3075011,15.28422549,2939305,5.140691939,4.827099299,88.46397,92.558089,1.43,80.621,82.59660976,84.671,4.7,4.4,4.1,7.8,9.6,,,6.978,130125,195181,2.464,5.4,4.7,5,1274,1873,1646
